Rank,Nome,SMILES,Formula,Score,CNS_MPO,BBB,MW,LogP,TPSA,HBD,HBA,SA_Score,Strain_kcal,N_Sistemas,Sistemas,N_Alertas,Estrategia
210,NZK3a_pirrolidina_C3NH_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1NCCCC1CCCN1,C15H26N6,0.6377,5.0,ALTA,290.2,0.83,65.1,3,6,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
211,NZK3b_quinuclidina_C4_piperidinimidazol,c1nc(CCCCC2CC3CCN2CC3)cn1C1CCNCC1,C19H32N4,0.637,5.57,ALTA,316.3,3.0,33.1,1,4,4.1,,1,serotoninergico,0,core+link+h3sig
212,NZK3d_quinuclidinona_C2OC_glicinamida,NC(=O)CNCOCC1CN2CCC1CC2=O,C11H19N3O3,0.637,5.5,MÉDIA,241.1,-1.1,84.7,2,4,5.3,,5,colinergico|dopaminergico|multiplo|noradrenergico|serotoninergico,0,core+link+nmda
213,NZK3a_pirrolidina_C2OC_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1COCC1CCCN1,C14H23N5O,0.6367,5.5,ALTA,277.2,0.15,62.3,2,6,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
214,NZK3a_azanorbornano_C3NH_piridilpiperazina,c1cc(N2CCNCC2)ncc1NCCCN1CC2CCC1C2,C18H29N5,0.6366,5.5,ALTA,315.2,1.78,43.4,2,5,4.6,,1,serotoninergico,0,core+link+pip
215,NZK3b_quinuclidinona_C3_piperidinimidazol,O=C1CC2CCN1CC2CCCc1cn(C2CCNCC2)cn1,C18H28N4O,0.6366,6.0,ALTA,316.2,2.0,50.2,1,4,5.8,,1,serotoninergico,0,core+link+h3sig
216,NZK3b_quinuclidinona_C2OC_piperidinimidazol,O=C1CC2CCN1CC2COCc1cn(C2CCNCC2)cn1,C17H26N4O2,0.6366,6.0,ALTA,318.2,1.19,59.4,1,5,5.8,,1,serotoninergico,0,core+link+h3sig
217,NZK3b_quinuclidinona_C4_piperidinimidazol,O=C1CC2CCN1CC2CCCCc1cn(C2CCNCC2)cn1,C19H30N4O,0.6362,6.0,ALTA,330.2,2.39,50.2,1,4,5.8,,1,serotoninergico,0,core+link+h3sig
218,NZK3c_benzisoxazolpip_C2_pirrolopiridina,c1cc(CCc2cnc3cc[nH]c3c2)c2onc(N3CCNCC3)c2c1,C20H21N5O,0.6359,5.3,ALTA,347.2,2.9,70.0,2,5,3.9,,1,serotoninergico,0,pip+link+indol
219,NZK3b_quinuclidina_C3NH_piperidinimidazol,c1nc(NCCCC2CC3CCN2CC3)cn1C1CCNCC1,C18H31N5,0.6358,5.5,ALTA,317.3,2.48,45.1,2,5,4.1,,1,serotoninergico,0,core+link+h3sig
220,NZK3c_pyrimidilpiperazina_C3NH_benzotiofeno,c1cc(CCCNc2ccc3sccc3c2)nc(N2CCNCC2)n1,C19H23N5S,0.6357,5.1,ALTA,353.2,3.15,53.1,2,6,3.3,,1,serotoninergico,0,pip+link+indol
221,NZK3b_quinuclidina_C2OC_piperidinimidazol,c1nc(COCC2CC3CCN2CC3)cn1C1CCNCC1,C17H28N4O,0.6356,6.0,ALTA,304.2,1.81,42.3,1,5,4.1,,0,,0,core+link+h3sig
222,NZK3d_3OH_quinuclidina_C2_pirazina_amida,O=C(NCCC1CN2CCC1CC2O)c1cnccn1,C14H20N4O2,0.6355,5.5,ALTA,276.2,0.26,78.3,2,5,6.2,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
223,NZK3d_azanorbornano_C3NH_aminoisoxazol,c1cc(NNCCCN2CC3CCC2C3)on1,C12H20N4O,0.6355,5.5,ALTA,236.2,1.47,53.3,2,5,4.3,,1,glutamatergico,0,core+link+nmda
224,NZK3b_azanorbornano_C3_benzimidazol,c1nc2cc(CCCN3CC4CCC3C4)ccc2[nH]1,C16H21N3,0.6354,5.56,ALTA,255.2,2.98,31.9,1,2,4.5,,1,dopaminergico,0,core+link+h3sig
225,NZK3a_piperidina_C2_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCC1CCCNC1,C15H25N5,0.6353,5.5,ALTA,275.2,0.82,53.1,2,5,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
226,NZK3a_piperidina_C2OC_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1COCC1CCCNC1,C15H25N5O,0.6353,5.5,ALTA,291.2,0.4,62.3,2,6,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
227,NZK3d_3OH_quinuclidina_C3_pirazina_amida,O=C(NCCCC1CN2CCC1CC2O)c1cnccn1,C15H22N4O2,0.6353,5.5,ALTA,290.2,0.65,78.3,2,5,6.2,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
228,NZK3a_pirrolidina_C3_triazinpiperazina,c1nc(CCCC2CCCN2)nc(N2CCNCC2)n1,C14H24N6,0.6352,5.5,ALTA,276.2,0.36,66.0,2,6,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
229,NZK3a_pirrolidina_C3NH_triazinpiperazina,c1nc(NCCCC2CCCN2)nc(N2CCNCC2)n1,C14H25N7,0.635,5.0,ALTA,291.2,0.23,78.0,3,7,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
230,NZK3b_3OH_quinuclidina_C4_benzimidazol,OC1CC2CCN1CC2CCCCc1ccc2[nH]cnc2c1,C18H25N3O,0.635,5.28,ALTA,299.2,2.94,52.1,2,3,6.6,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
231,NZK3a_pirrolidina_C4_triazinpiperazina,c1nc(CCCCC2CCCN2)nc(N2CCNCC2)n1,C15H26N6,0.6349,5.5,ALTA,290.2,0.75,66.0,2,6,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
232,NZK3a_pirrolidina_C2OC_triazinpiperazina,c1nc(COCC2CCCN2)nc(N2CCNCC2)n1,C13H22N6O,0.6348,5.5,ALTA,278.2,-0.45,75.2,2,7,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
233,NZK3c_benzisoxazolpip_C2OC_pirrolopiridina,c1cc(COCc2cnc3cc[nH]c3c2)c2onc(N3CCNCC3)c2c1,C20H21N5O2,0.6347,5.31,ALTA,363.2,2.83,79.2,2,6,4.0,,1,serotoninergico,0,pip+link+indol
234,NZK3b_quinuclidina_C3_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1CCCC1CC2CCN1CC2,C21H32N2O,0.6338,4.74,ALTA,328.3,3.62,24.5,1,3,4.1,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
235,NZK3a_azanorbornano_C3NH_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1NCCCN1CC2CCC1C2,C17H28N6,0.6336,5.5,ALTA,316.2,1.17,56.3,2,6,4.6,,1,serotoninergico,0,core+link+pip
236,NZK3a_piperidina_C2OC_triazinpiperazina,c1nc(COCC2CCCNC2)nc(N2CCNCC2)n1,C14H24N6O,0.6334,5.5,ALTA,292.2,-0.2,75.2,2,7,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
237,NZK3a_piperidina_C2_triazinpiperazina,c1nc(CCC2CCCNC2)nc(N2CCNCC2)n1,C14H24N6,0.6333,5.5,ALTA,276.2,0.21,66.0,2,6,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
238,NZK3c_benzisoxazolpip_C2OC_indol,c1cc(COCc2ccc3[nH]ccc3c2)c2onc(N3CCNCC3)c2c1,C21H22N4O2,0.6332,4.8,ALTA,362.2,3.44,66.3,2,5,4.0,,2,dopaminergico|serotoninergico,0,pip+link+indol
239,NZK3d_quinuclidinona_C4_glicinamida,NC(=O)CNCCCCC1CN2CCC1CC2=O,C13H23N3O2,0.633,5.5,ALTA,253.2,0.1,75.4,2,3,5.3,,3,colinergico|dopaminergico|serotoninergico,0,core+link+nmda
240,NZK3a_piperidina_C3NH_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1NCCCC1CCCNC1,C16H28N6,0.6328,5.0,ALTA,304.2,1.08,65.1,3,6,3.5,,1,serotoninergico,0,core+link+pip
241,NZK3b_azanorbornano_C2OC_imidazol,c1nc(COCN2CC3CCC2C3)c[nH]1,C11H17N3O,0.6325,6.0,ALTA,207.1,1.37,41.1,1,3,4.3,,0,,0,core+link+h3sig
242,NZK3d_azanorbornano_C4_oxadiazol_amino,c1onnc1NCCCCN1CC2CCC1C2,C12H20N4O,0.6321,6.0,ALTA,236.2,1.75,54.2,1,5,4.3,,0,,0,core+link+nmda
243,NZK3d_azanorbornano_C3_oxadiazol_amino,c1onnc1NCCCN1CC2CCC1C2,C11H18N4O,0.632,6.0,ALTA,222.1,1.36,54.2,1,5,4.3,,0,,0,core+link+nmda
244,NZK3a_3OH_quinuclidina_C3_benzisoxazolpip,OC1CC2CCN1CC2CCCc1ccc2c(N3CCNCC3)noc2c1,C21H30N4O2,0.6313,5.43,ALTA,370.2,2.22,64.8,2,6,7.4,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
245,NZK3b_quinuclidinona_C2OC_imidazol,O=C1CC2CCN1CC2COCc1c[nH]cn1,C12H17N3O2,0.6312,6.0,ALTA,235.1,0.8,58.2,1,3,5.4,,2,colinergico|serotoninergico,0,core+link+h3sig
246,NZK3d_3OH_quinuclidina_C3NH_aminoisoxazol,OC1CC2CCN1CC2CCCNNc1ccno1,C13H22N4O2,0.6312,5.0,ALTA,266.2,1.03,73.6,3,6,6.2,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
247,NZK3a_3OH_quinuclidina_C2OC_benzisoxazolpip,OC1CC2CCN1CC2COCc1ccc2c(N3CCNCC3)noc2c1,C20H28N4O3,0.6307,5.41,ALTA,372.2,1.41,74.0,2,7,7.4,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
248,NZK3d_quinuclidina_C3_glicinamida,NC(=O)CNCCCC1CC2CCN1CC2,C12H23N3O,0.6302,5.5,ALTA,225.2,0.33,58.4,2,3,3.7,,2,dopaminergico|serotoninergico,0,core+link+nmda
249,NZK3a_3OH_quinuclidina_C2_piridilpiperazina,OC1CC2CCN1CC2CCc1ccc(N2CCNCC2)nc1,C18H28N4O,0.63,5.5,ALTA,316.2,1.08,51.6,2,5,6.5,,2,colinergico|serotoninergico,0,core+link+pip
250,NZK3d_quinuclidina_C4_glicinamida,NC(=O)CNCCCCC1CC2CCN1CC2,C13H25N3O,0.6299,5.5,ALTA,239.2,0.72,58.4,2,3,3.7,,2,dopaminergico|serotoninergico,0,core+link+nmda
251,NZK3b_3OH_quinuclidina_C2_imidazol,OC1CC2CCN1CC2CCc1c[nH]cn1,C12H19N3O,0.6295,5.5,ALTA,221.2,1.0,52.1,2,3,6.2,,2,colinergico|serotoninergico,0,core+link+h3sig
252,NZK3b_3OH_quinuclidina_C3_imidazol,OC1CC2CCN1CC2CCCc1c[nH]cn1,C13H21N3O,0.6294,5.5,ALTA,235.2,1.39,52.1,2,3,6.2,,2,colinergico|serotoninergico,0,core+link+h3sig
253,NZK3b_3OH_quinuclidina_C3NH_imidazol,OC1CC2CCN1CC2CCCNc1c[nH]cn1,C13H22N4O,0.6294,5.0,ALTA,250.2,1.26,64.2,3,4,6.2,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
254,NZK3b_azanorbornano_C3NH_benzimidazol,c1nc2cc(NCCCN3CC4CCC3C4)ccc2[nH]1,C16H22N4,0.6292,5.33,ALTA,270.2,2.85,44.0,2,3,4.6,,1,dopaminergico,0,core+link+h3sig
255,NZK3a_3OH_quinuclidina_C3NH_piridilpiperazina,OC1CC2CCN1CC2CCCNc1ccc(N2CCNCC2)nc1,C19H31N5O,0.6291,5.0,ALTA,345.3,1.34,63.7,3,6,6.6,,3,colinergico|dopaminergico|serotoninergico,0,core+link+pip
256,NZK3b_3OH_quinuclidina_C4_imidazol,OC1CC2CCN1CC2CCCCc1c[nH]cn1,C14H23N3O,0.6291,5.5,ALTA,249.2,1.78,52.1,2,3,6.2,,2,colinergico|serotoninergico,0,core+link+h3sig
257,NZK3b_azanorbornano_C3NH_piperidinimidazol,c1nc(NCCCN2CC3CCC2C3)cn1C1CCNCC1,C17H29N5,0.6288,5.5,ALTA,303.2,2.09,45.1,2,5,4.6,,1,serotoninergico,0,core+link+h3sig
258,NZK3a_3OH_quinuclidina_C3_piridilpiperazina,OC1CC2CCN1CC2CCCc1ccc(N2CCNCC2)nc1,C19H30N4O,0.6285,5.5,ALTA,330.2,1.47,51.6,2,5,6.6,,2,colinergico|serotoninergico,0,core+link+pip
259,NZK3a_3OH_quinuclidina_C4_piridilpiperazina,OC1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)nc1,C20H32N4O,0.6282,5.5,ALTA,344.3,1.86,51.6,2,5,6.6,,2,colinergico|serotoninergico,0,core+link+pip
260,NZK3b_azanorbornano_C2OC_piperidinimidazol,c1nc(COCN2CC3CCC2C3)cn1C1CCNCC1,C16H26N4O,0.6281,6.0,ALTA,290.2,1.77,42.3,1,5,4.6,,0,,0,core+link+h3sig
261,NZK3a_quinuclidinona_C2_pyrimidilpiperazina,O=C1CC2CCN1CC2CCc1cnc(N2CCNCC2)nc1,C17H25N5O,0.6278,6.0,ALTA,315.2,0.69,61.4,1,5,5.8,,2,colinergico|serotoninergico,0,core+link+pip
262,NZK3a_quinuclidinona_C2OC_pyrimidilpiperazina,O=C1CC2CCN1CC2COCc1cnc(N2CCNCC2)nc1,C17H25N5O2,0.6277,6.0,ALTA,331.2,0.27,70.6,1,6,5.8,,2,colinergico|serotoninergico,0,core+link+pip
263,NZK3b_3OH_quinuclidina_C2OC_benzimidazol,OC1CC2CCN1CC2COCc1ccc2[nH]cnc2c1,C16H21N3O2,0.6276,5.5,ALTA,287.2,1.74,61.4,2,4,6.6,,2,colinergico|dopaminergico,0,core+link+h3sig
264,NZK3b_azanorbornano_C2_imidazol,c1nc(CCN2CC3CCC2C3)c[nH]1,C11H17N3,0.6271,5.8,ALTA,191.1,1.44,31.9,1,2,4.3,,0,,0,core+link+h3sig
265,NZK3a_3OH_quinuclidina_C3NH_benzisoxazolpip,OC1CC2CCN1CC2CCCNc1ccc2c(N3CCNCC3)noc2c1,C21H31N5O2,0.627,4.82,ALTA,385.2,2.09,76.8,3,7,7.5,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
266,NZK3b_azanorbornano_C4_imidazol,c1nc(CCCCN2CC3CCC2C3)c[nH]1,C13H21N3,0.627,5.8,ALTA,219.2,2.22,31.9,1,2,4.3,,0,,0,core+link+h3sig
267,NZK3b_azanorbornano_C3_imidazol,c1nc(CCCN2CC3CCC2C3)c[nH]1,C12H19N3,0.6269,5.8,ALTA,205.2,1.83,31.9,1,2,4.3,,0,,0,core+link+h3sig
268,NZK3b_quinuclidinona_C2_ciclopentilpiperazina,O=C1CC2CCN1CC2CCC1CCC(N2CCNCC2)C1,C18H31N3O,0.6267,5.89,ALTA,305.2,1.71,35.6,1,3,7.5,,2,glutamatergico|serotoninergico,0,core+link+h3sig
269,NZK3a_quinuclidinona_C2_triazinpiperazina,O=C1CC2CCN1CC2CCc1ncnc(N2CCNCC2)n1,C16H24N6O,0.6261,6.0,ALTA,316.2,0.08,74.2,1,6,5.8,,2,colinergico|serotoninergico,0,core+link+pip
270,NZK3a_quinuclidina_C2_triazinpiperazina,c1nc(CCC2CC3CCN2CC3)nc(N2CCNCC2)n1,C16H26N6,0.6258,6.0,ALTA,302.2,0.7,57.2,1,6,4.1,,1,serotoninergico,0,core+link+pip
271,NZK3a_quinuclidina_C2OC_triazinpiperazina,c1nc(COCC2CC3CCN2CC3)nc(N2CCNCC2)n1,C16H26N6O,0.6257,6.0,ALTA,318.2,0.28,66.4,1,7,4.1,,1,serotoninergico,0,core+link+pip
272,NZK3a_quinuclidina_C3NH_triazinpiperazina,c1nc(NCCCC2CC3CCN2CC3)nc(N2CCNCC2)n1,C17H29N7,0.6257,5.5,ALTA,331.2,0.96,69.2,2,7,4.1,,2,dopaminergico|serotoninergico,0,core+link+pip
273,NZK3a_3OH_quinuclidina_C4_pyrimidilpiperazina,OC1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,C19H31N5O,0.6256,5.5,ALTA,345.3,1.26,64.5,2,6,6.6,,2,colinergico|serotoninergico,0,core+link+pip
274,NZK3a_3OH_quinuclidina_C4_benzisoxazolpip,OC1CC2CCN1CC2CCCCc1ccc2c(N3CCNCC3)noc2c1,C22H32N4O2,0.6251,5.27,ALTA,384.3,2.61,64.8,2,6,7.5,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
275,NZK3a_quinuclidinona_C3_triazinpiperazina,O=C1CC2CCN1CC2CCCc1ncnc(N2CCNCC2)n1,C17H26N6O,0.6249,6.0,ALTA,330.2,0.47,74.2,1,6,5.9,,2,colinergico|serotoninergico,0,core+link+pip
276,NZK3a_quinuclidinona_C4_triazinpiperazina,O=C1CC2CCN1CC2CCCCc1ncnc(N2CCNCC2)n1,C18H28N6O,0.6246,6.0,ALTA,344.2,0.86,74.2,1,6,5.9,,2,colinergico|serotoninergico,0,core+link+pip
277,NZK3c_benzisoxazolpip_C3_pirrolopiridina,c1cc(CCCc2cnc3cc[nH]c3c2)c2onc(N3CCNCC3)c2c1,C21H23N5O,0.6244,4.95,ALTA,361.2,3.29,70.0,2,5,4.0,,1,serotoninergico,0,pip+link+indol
278,NZK3b_azanorbornano_C2_piperidinimidazol,c1nc(CCN2CC3CCC2C3)cn1C1CCNCC1,C16H26N4,0.6237,5.83,ALTA,274.2,1.83,33.1,1,4,4.6,,0,,0,core+link+h3sig
279,NZK3c_pyrimidilpiperazina_C3NH_pirrolopiridina,c1cc(CCCNc2cnc3cc[nH]c3c2)nc(N2CCNCC2)n1,C18H23N7,0.6237,5.0,ALTA,337.2,1.81,81.8,3,6,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
280,NZK3c_pyrimidilpiperazina_C3NH_indazol,c1cc(CCCNc2ccc3[nH]ncc3c2)nc(N2CCNCC2)n1,C18H23N7,0.6236,5.0,ALTA,337.2,1.81,81.8,3,6,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
281,NZK3d_quinuclidina_C3NH_oxadiazol_amino,c1onnc1NNCCCC1CC2CCN1CC2,C12H21N5O,0.6234,5.5,ALTA,251.2,1.25,66.2,2,6,3.8,,0,,0,core+link+nmda
282,NZK3b_azanorbornano_C4_benzimidazol,c1nc2cc(CCCCN3CC4CCC3C4)ccc2[nH]1,C17H23N3,0.6229,5.18,ALTA,269.2,3.37,31.9,1,2,4.6,,1,dopaminergico,0,core+link+h3sig
283,NZK3b_azanorbornano_C4_piperidinimidazol,c1nc(CCCCN2CC3CCC2C3)cn1C1CCNCC1,C18H30N4,0.6218,5.77,ALTA,302.2,2.62,33.1,1,4,4.6,,0,,0,core+link+h3sig
284,NZK3b_quinuclidinona_C3NH_piperidinimidazol,O=C1CC2CCN1CC2CCCNc1cn(C2CCNCC2)cn1,C18H29N5O,0.6217,5.5,ALTA,331.2,1.87,62.2,2,5,5.8,,1,serotoninergico,0,core+link+h3sig
285,NZK3c_benzisoxazolpip_C2_indol,c1cc(CCc2ccc3[nH]ccc3c2)c2onc(N3CCNCC3)c2c1,C21H22N4O,0.6217,4.75,ALTA,346.2,3.5,57.1,2,4,3.9,,3,colinergico|dopaminergico|serotoninergico,0,pip+link+indol
286,NZK3b_azanorbornano_C3_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1CCCN1CC2CCC1C2,C20H30N2O,0.6216,5.13,ALTA,314.2,3.23,24.5,1,3,4.6,,1,histaminergico,0,core+link+h3sig
287,NZK3a_azanorbornano_C2_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCN1CC2CCC1C2,C16H25N5,0.6214,6.0,ALTA,287.2,0.91,44.3,1,5,4.6,,1,serotoninergico,0,core+link+pip
288,NZK3a_azanorbornano_C2OC_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1COCN1CC2CCC1C2,C16H25N5O,0.6209,6.0,ALTA,303.2,0.84,53.5,1,6,4.6,,1,serotoninergico,0,core+link+pip
289,REF_roflumilast,COc1cc(C(=O)Nc2cc(OC(F)F)ncc2Cl)ccc1OC1CCCC1,C19H19ClF2N2O4,0.6208,3.67,ALTA,412.1,4.92,69.7,1,5,3.5,,4,colinergico|dopaminergico|glutamatergico|pde,0,referencia
290,NZK3a_azanorbornano_C2_triazinpiperazina,c1nc(CCN2CC3CCC2C3)nc(N2CCNCC2)n1,C15H24N6,0.6202,6.0,ALTA,288.2,0.31,57.2,1,6,4.6,,1,serotoninergico,0,core+link+pip
291,NZK3a_azanorbornano_C3_triazinpiperazina,c1nc(CCCN2CC3CCC2C3)nc(N2CCNCC2)n1,C16H26N6,0.6201,6.0,ALTA,302.2,0.7,57.2,1,6,4.6,,1,serotoninergico,0,core+link+pip
292,NZK3a_azanorbornano_C2OC_triazinpiperazina,c1nc(COCN2CC3CCC2C3)nc(N2CCNCC2)n1,C15H24N6O,0.6196,6.0,ALTA,304.2,0.24,66.4,1,7,4.6,,1,serotoninergico,0,core+link+pip
293,REF_cutamesina,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,C21H23ClFNO2,0.6195,4.22,ALTA,375.1,4.43,40.5,1,3,3.1,,5,dopaminergico|glutamatergico|noradrenergico|serotoninergico|sigma,0,referencia
294,NZK3d_quinuclidinona_C3NH_pirazina_amida,O=C(NNCCCC1CN2CCC1CC2=O)c1cnccn1,C15H21N5O2,0.6193,5.5,MÉDIA,303.2,0.36,87.2,2,5,5.5,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
295,REF_DETQ,Cc1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1C,C16H15F3N2O2,0.6193,3.58,ALTA,324.1,4.85,50.4,2,2,2.6,,3,colinergico|dopaminergico|pde,0,referencia
296,NZK3a_piperidina_C3_triazinpiperazina,c1nc(CCCC2CCCNC2)nc(N2CCNCC2)n1,C15H26N6,0.6188,5.5,ALTA,290.2,0.6,66.0,2,6,3.5,,1,serotoninergico,0,core+link+pip
297,NZK3a_piperidina_C3NH_triazinpiperazina,c1nc(NCCCC2CCCNC2)nc(N2CCNCC2)n1,C15H27N7,0.6187,5.0,ALTA,305.2,0.47,78.0,3,7,3.5,,2,dopaminergico|serotoninergico,0,core+link+pip
298,NZK3b_azanorbornano_C3NH_imidazol,c1nc(NCCCN2CC3CCC2C3)c[nH]1,C12H20N4,0.6186,5.5,ALTA,220.2,1.7,44.0,2,3,4.3,,0,,0,core+link+h3sig
299,NZK3a_piperidina_C4_triazinpiperazina,c1nc(CCCCC2CCCNC2)nc(N2CCNCC2)n1,C16H28N6,0.6185,5.5,ALTA,304.2,0.99,66.0,2,6,3.5,,1,serotoninergico,0,core+link+pip
300,NZK3c_fenilpiperazina_C4_pirrolopiridina,c1cc(CCCCc2cnc3cc[nH]c3c2)cc(N2CCNCC2)c1,C21H26N4,0.6165,4.71,ALTA,334.2,3.54,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
301,NZK3a_tropanol_C2_benzisoxazolpip,NC1CC2CCC1CC2OCCc1ccc2c(N3CCNCC3)noc2c1,C21H30N4O2,0.6162,5.43,ALTA,370.2,2.31,76.5,2,6,7.4,,2,colinergico|serotoninergico,0,core+link+pip
302,NZK3c_fenilpiperazina_C4_indazol,c1cc(CCCCc2ccc3[nH]ncc3c2)cc(N2CCNCC2)c1,C21H26N4,0.616,4.71,ALTA,334.2,3.54,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
303,REF_donepezila,COc1cc2c(c(OC)c1)C(=O)CC(CC1CCN(Cc3ccccc3)CC1)C2,C25H31NO3,0.616,3.86,ALTA,393.2,4.75,38.8,0,4,4.7,,4,colinergico|dopaminergico|pde|serotoninergico,0,referencia
304,NZK3d_tropanol_C2_aminoisoxazol,NC1CC2CCC1CC2OCCNc1ccno1,C13H21N3O2,0.6152,5.5,ALTA,251.2,1.62,73.3,2,5,6.2,,1,glutamatergico,0,core+link+nmda
305,NZK3c_piridilpiperazina_C4_indol,c1cc(CCCCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)c1,C21H26N4,0.6149,4.71,ALTA,334.2,3.54,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
306,NZK3d_tropanol_C3_aminoisoxazol,NC1CC2CCC1CC2OCCCNc1ccno1,C14H23N3O2,0.6148,5.5,ALTA,265.2,2.01,73.3,2,5,6.2,,1,glutamatergico,0,core+link+nmda
307,NZK3b_quinuclidinona_C3NH_ciclopentilpiperazina,O=C1CC2CCN1CC2CCCNC1CCC(N2CCNCC2)C1,C19H34N4O,0.6146,5.5,ALTA,334.3,1.05,47.6,2,4,7.5,,2,dopaminergico|serotoninergico,0,core+link+h3sig
308,NZK3d_quinuclidina_C3NH_glicinamida,NC(=O)CNNCCCC1CC2CCN1CC2,C12H24N4O,0.6146,5.0,ALTA,240.2,-0.17,70.4,3,4,3.7,,2,dopaminergico|serotoninergico,0,core+link+nmda
309,NZK3d_tropanol_C4_aminoisoxazol,NC1CC2CCC1CC2OCCCCNc1ccno1,C15H25N3O2,0.6145,5.5,ALTA,279.2,2.4,73.3,2,5,6.2,,1,glutamatergico,0,core+link+nmda
310,NZK3b_3OH_quinuclidina_C3NH_benzimidazol,OC1CC2CCN1CC2CCCNc1ccc2[nH]cnc2c1,C17H24N4O,0.6138,5.0,ALTA,300.2,2.42,64.2,3,4,6.6,,2,colinergico|dopaminergico,0,core+link+h3sig
311,NZK3a_tropanol_C2_piridilpiperazina,NC1CC2CCC1CC2OCCc1ccc(N2CCNCC2)nc1,C19H30N4O,0.6134,5.5,ALTA,330.2,1.57,63.4,2,5,6.6,,1,serotoninergico,0,core+link+pip
312,NZK3a_tropanol_C3_piridilpiperazina,NC1CC2CCC1CC2OCCCc1ccc(N2CCNCC2)nc1,C20H32N4O,0.6133,5.5,ALTA,344.3,1.96,63.4,2,5,6.6,,1,serotoninergico,0,core+link+pip
313,NZK3d_3OH_quinuclidina_C4_oxadiazol_amino,OC1CC2CCN1CC2CCCCNc1conn1,C13H22N4O2,0.6131,5.5,ALTA,266.2,1.31,74.4,2,6,6.2,,1,colinergico,0,core+link+nmda
314,NZK3d_quinuclidina_C2OC_oxadiazol_amino,c1onnc1NCOCC1CC2CCN1CC2,C11H18N4O2,0.613,6.0,ALTA,238.1,0.94,63.4,1,6,3.8,,0,,0,core+link+nmda
315,NZK3a_tropanol_C2OC_piridilpiperazina,NC1CC2CCC1CC2OCOCc1ccc(N2CCNCC2)nc1,C19H30N4O2,0.6129,5.5,ALTA,346.2,1.5,72.6,2,6,6.6,,1,serotoninergico,0,core+link+pip
316,NZK3a_quinuclidinona_C3NH_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCNc1cnc(N2CCNCC2)nc1,C18H28N6O,0.6121,5.5,ALTA,344.2,0.95,73.4,2,6,5.9,,2,dopaminergico|serotoninergico,0,core+link+pip
317,NZK3a_tropanol_C4_piridilpiperazina,NC1CC2CCC1CC2OCCCCc1ccc(N2CCNCC2)nc1,C21H34N4O,0.6119,5.5,ALTA,358.3,2.35,63.4,2,5,6.7,,1,serotoninergico,0,core+link+pip
318,NZK3b_quinuclidinona_C3_ciclopentilpiperazina,O=C1CC2CCN1CC2CCCC1CCC(N2CCNCC2)C1,C19H33N3O,0.6115,5.89,ALTA,319.3,2.1,35.6,1,3,7.5,,1,serotoninergico,0,core+link+h3sig
