Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Cat,MW,LogP,TPSA,HBD,HBA,Multi_Target,N_Sistemas,Sistemas,Max_Anti_Sim,N_Alertas,Estrategia
231,NZK2a_quinuclidinona_butileno_sulfonamidapip,O=C1CC2CCN1CC2CCCCNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.589,5.07,ALTA,420.2,1.41,81.8,2,5,0.1332,1,serotoninergico,0.113,0,core_piperazina
232,NZK2a_quinuclidina_etil_carbonil_sulfonamidapip,O=C(CC1CN2CCC1CC2)NS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5866,5.27,MÉDIA,392.2,0.63,81.8,2,6,0.1504,2,colinergico|serotoninergico,0.125,0,core_piperazina
233,NZK2c_pyrimidilpiperazina_etil_amida_indazol,O=C(CC1CNCCN1c1ncccn1)Nc1ccc2[nH]ncc2c1,0.5865,4.71,MÉDIA,337.2,1.16,98.8,3,6,0.1579,3,dopaminergico|glutamatergico|serotoninergico,0.122,0,pip_heterociclo
234,NZK2a_3OH_quinuclidina_etil_eter_indolpiperazina,OC1CC2CCN1CC2COCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5854,4.73,ALTA,398.3,1.79,63.8,3,5,0.1109,0,,0.133,0,core_piperazina
235,REF_tandospirona,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2cccc3cccnc23)CC1,0.5849,4.37,ALTA,434.3,3.85,56.8,0,5,0.2103,1,serotoninergico,0.195,0,referencia
236,NZK2c_pyrimidilpiperazina_propil_amina_indazol,c1cnc(N2CCNCC2CCCNc2ccc3[nH]ncc3c2)nc1,0.5848,5.0,ALTA,337.2,2.02,81.8,3,6,0.1258,1,serotoninergico,0.11,0,pip_heterociclo
237,NZK2c_pyrimidilpiperazina_propil_amina_pirrolo_piridina,c1cnc(N2CCNCC2CCCNc2cnc3[nH]ccc3c2)nc1,0.5847,5.0,ALTA,337.2,2.02,81.8,3,6,0.1253,1,serotoninergico,0.118,0,pip_heterociclo
238,NZK2c_fenilpiperazina_butileno_pirrolo_piridina,c1ccc(N2CCNCC2CCCCc2cnc3[nH]ccc3c2)cc1,0.5844,4.5,ALTA,334.2,3.75,44.0,2,3,0.1244,2,dopaminergico|serotoninergico,0.127,0,pip_heterociclo
239,NZK2a_3OH_quinuclidina_propileno_indolpiperazina,OC1CC2CCN1CC2CCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5843,4.69,ALTA,396.3,2.6,54.5,3,4,0.1119,0,,0.149,0,core_piperazina
240,NZK2a_quinuclidinona_propil_amina_indolpiperazina,O=C1CC2CCN1CC2CCCNc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5842,4.56,ALTA,409.3,2.68,63.4,3,4,0.129,0,,0.144,0,core_piperazina
241,NZK2c_fenilpiperazina_butileno_indazol,c1ccc(N2CCNCC2CCCCc2ccc3[nH]ncc3c2)cc1,0.5832,4.5,ALTA,334.2,3.75,44.0,2,3,0.1193,2,dopaminergico|serotoninergico,0.128,0,pip_heterociclo
242,NZK2a_3OH_quinuclidina_propil_amina_pyrimidilpiperazina,OC1CC2CCN1CC2CCCNc1cnc(N2CCNCC2)nc1,0.5819,5.0,ALTA,346.2,0.74,76.5,3,7,0.1142,1,serotoninergico,0.136,0,core_piperazina
243,NZK2b_quinuclidina_butileno_benzimidazol,c1nc2cc(CCCCC3CN4CCC3CC4)ccc2[nH]1,0.5814,4.93,ALTA,283.2,3.62,31.9,1,2,0.1215,1,colinergico,0.138,0,core_imidazol
244,NZK2a_3OH_quinuclidina_etil_eter_pyrimidilpiperazina,OC1CC2CCN1CC2COCc1cnc(N2CCNCC2)nc1,0.5812,5.5,ALTA,333.2,0.06,73.8,2,7,0.1116,0,,0.108,0,core_piperazina
245,NZK2a_3OH_quinuclidina_propileno_pyrimidilpiperazina,OC1CC2CCN1CC2CCCc1cnc(N2CCNCC2)nc1,0.5808,5.5,ALTA,331.2,0.87,64.5,2,6,0.11,0,,0.119,0,core_piperazina
246,NZK2a_quinuclidinona_etileno_triazolpiperazina,O=C1CC2CCN1CC2CCc1nn[nH]c1N1CCNCC1,0.5797,5.5,ALTA,304.2,0.02,77.2,2,5,0.1053,0,,0.093,0,core_piperazina
247,NZK2a_quinuclidinona_propileno_triazolpiperazina,O=C1CC2CCN1CC2CCCc1nn[nH]c1N1CCNCC1,0.5796,5.5,ALTA,318.2,0.41,77.2,2,5,0.1052,0,,0.094,0,core_piperazina
248,NZK2a_quinuclidinona_butileno_triazolpiperazina,O=C1CC2CCN1CC2CCCCc1nn[nH]c1N1CCNCC1,0.5793,5.5,ALTA,332.2,0.8,77.2,2,5,0.1038,0,,0.106,0,core_piperazina
249,NZK2a_quinuclidina_etil_sulfonamida_benzisoxazolpip,O=S(=O)(CC1CN2CCC1CC2)Nc1ccc2onc(N3CCNCC3)c2c1,0.579,5.15,MÉDIA,405.2,1.32,90.7,2,7,0.1362,2,colinergico|serotoninergico,0.108,0,core_piperazina
250,NZK2b_3OH_quinuclidina_etil_amida_imidazol_N_metil,O=C(CC1CN2CCC1CC2O)NCn1ccnc1,0.579,5.5,ALTA,264.2,0.01,70.4,2,5,0.1025,0,,0.114,0,core_imidazol
251,NZK2b_3OH_quinuclidina_etil_eter_piperidin_imidazol,OC1CC2CCN1CC2COCc1cn(C2CCNCC2)cn1,0.5775,5.5,ALTA,320.2,0.98,62.6,2,6,0.0968,0,,0.106,0,core_imidazol
252,NZK2a_azanorbornano_butileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCCN1CC2CCC1C2,0.5772,4.54,ALTA,380.3,3.42,34.3,2,3,0.1033,0,,0.136,0,core_piperazina
253,REF_donepezila,COc1cc2c(c(OC)c1)C(=O)CC(CC1CCN(Cc3ccccc3)CC1)C2,0.5769,3.86,ALTA,393.2,4.75,38.8,0,4,0.1797,2,colinergico|dopaminergico,0.189,0,referencia
254,NZK2a_quinuclidina_propileno_triazolpiperazina,C(Cc1nn[nH]c1N1CCNCC1)CC1CN2CCC1CC2,0.5766,5.5,ALTA,304.2,0.88,60.1,2,5,0.0929,0,,0.076,0,core_piperazina
255,NZK2a_quinuclidina_etil_eter_triazolpiperazina,C1CN(c2[nH]nnc2COCC2CN3CCC2CC3)CCN1,0.5766,5.5,ALTA,306.2,0.07,69.3,2,6,0.0932,0,,0.062,0,core_piperazina
256,NZK2a_quinuclidina_etileno_triazolpiperazina,C1CN(c2[nH]nnc2CCC2CN3CCC2CC3)CCN1,0.5765,5.5,ALTA,290.2,0.49,60.1,2,5,0.0928,0,,0.064,0,core_piperazina
257,NZK2c_fenilpiperazina_etil_carbonil_benzotiofeno,O=C(CC1CNCCN1c1ccccc1)c1ccc2sccc2c1,0.5754,4.61,ALTA,336.1,3.95,32.3,1,4,0.1402,1,dopaminergico,0.165,0,pip_heterociclo
258,NZK2a_azanorbornano_propileno_triazolpiperazina,C(Cc1nn[nH]c1N1CCNCC1)CN1CC2CCC1C2,0.5748,5.5,ALTA,290.2,0.63,60.1,2,5,0.086,0,,0.089,0,core_piperazina
259,NZK2b_3OH_quinuclidina_propil_amina_imidazol_N_metil,OC1CC2CCN1CC2CCCNCn1ccnc1,0.5748,5.5,ALTA,264.2,0.87,53.3,2,5,0.086,0,,0.1,0,core_imidazol
260,NZK2c_benzisoxazolpip_etileno_benzofuran,c1ccc2c(N3CCNCC3CCc3ccc4ccoc4c3)noc2c1,0.5748,4.76,ALTA,347.2,3.99,54.4,1,5,0.1177,1,colinergico,0.122,0,pip_heterociclo
261,NZK2c_benzisoxazolpip_propileno_pirrolo_piridina,c1ccc2c(N3CCNCC3CCCc3cnc4[nH]ccc4c3)noc2c1,0.5746,4.74,ALTA,361.2,3.51,70.0,2,5,0.1199,1,serotoninergico,0.128,0,pip_heterociclo
262,NZK2a_azanorbornano_etileno_triazolpiperazina,C1CN(c2[nH]nnc2CCN2CC3CCC2C3)CCN1,0.5745,5.5,ALTA,276.2,0.24,60.1,2,5,0.0845,0,,0.077,0,core_piperazina
263,NZK2a_3OH_quinuclidina_butileno_indolpiperazina,OC1CC2CCN1CC2CCCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5743,4.4,ALTA,410.3,2.99,54.5,3,4,0.1107,0,,0.148,0,core_piperazina
264,NZK2a_quinuclidina_propil_amina_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1NCCCC1CN2CCC1CC2,0.5742,4.35,ALTA,395.3,3.15,46.3,3,4,0.1169,0,,0.14,0,core_piperazina
265,NZK2c_fenilpiperazina_propil_amina_benzofuran,c1ccc(N2CCNCC2CCCNc2ccc3ccoc3c2)cc1,0.5737,4.15,ALTA,335.2,4.1,40.4,2,4,0.1283,2,dopaminergico|serotoninergico,0.141,0,pip_heterociclo
266,NZK2a_3OH_quinuclidina_etil_carbonil_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2O)c1cnc(N2CCNCC2)nc1,0.5723,5.5,MÉDIA,331.2,0.12,81.6,2,7,0.1293,1,serotoninergico,0.154,0,core_piperazina
267,NZK2c_fenilpiperazina_etileno_benzofuran,c1ccc(N2CCNCC2CCc2ccc3ccoc3c2)cc1,0.5721,4.62,ALTA,306.2,3.84,28.4,1,3,0.1256,1,serotoninergico,0.135,0,pip_heterociclo
268,NZK2c_benzisoxazolpip_etil_carbonil_benzotiofeno,O=C(CC1CNCCN1c1noc2ccccc12)c1ccc2sccc2c1,0.5713,4.53,ALTA,377.1,4.09,58.4,1,6,0.1344,1,colinergico,0.146,0,pip_heterociclo
269,NZK2a_quinuclidinona_etil_amida_benzisoxazolpip,O=C(CC1CN2CCC1CC2=O)Nc1ccc2onc(N3CCNCC3)c2c1,0.5712,5.31,MÉDIA,383.2,1.43,90.7,2,6,0.1502,1,colinergico,0.131,0,core_piperazina
270,NZK2a_3OH_quinuclidina_butileno_sulfonamidapip,O=S(=O)(NCCCCC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.571,4.56,ALTA,422.2,1.21,84.9,3,6,0.1295,1,serotoninergico,0.128,0,core_piperazina
271,NZK2c_fenilpiperazina_etil_sulfonamida_indazol,O=S(=O)(CC1CNCCN1c1ccccc1)Nc1ccc2[nH]ncc2c1,0.5709,4.92,MÉDIA,371.1,1.78,90.1,3,5,0.1343,2,dopaminergico|serotoninergico,0.152,0,pip_heterociclo
272,NZK2a_quinuclidina_etil_sulfonamida_indolpiperazina,O=S(=O)(CC1CN2CCC1CC2)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5676,4.49,ALTA,431.2,1.7,80.5,3,5,0.1249,1,colinergico,0.125,0,core_piperazina
273,REF_roflumilast,COc1cc(C(=O)Nc2cc(OC(F)F)ncc2Cl)ccc1OC1CCCC1,0.5673,3.67,ALTA,412.1,4.92,69.7,1,5,0.1667,2,glutamatergico|pde,0.14,0,referencia
274,NZK2c_pyrimidilpiperazina_etil_amida_pirrolo_piridina,O=C(CC1CNCCN1c1ncccn1)Nc1cnc2[nH]ccc2c1,0.5668,4.71,MÉDIA,337.2,1.16,98.8,3,6,0.146,2,glutamatergico|serotoninergico,0.129,0,pip_heterociclo
275,NZK2a_quinuclidinona_etileno_sulfonamidapip,O=C1CC2CCN1CC2CCNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5665,5.27,MÉDIA,392.2,0.63,81.8,2,5,0.1365,1,serotoninergico,0.117,0,core_piperazina
276,NZK2b_3OH_quinuclidina_etil_amida_tiazol_amino,O=C(CC1CN2CCC1CC2O)NNc1nccs1,0.5658,5.0,ALTA,282.1,0.64,77.5,3,6,0.1165,0,,0.125,0,core_imidazol
277,NZK2b_3OH_quinuclidina_etil_eter_aminotiazol_pip,OC1CC2CCN1CC2COCNc1nc(N2CCNCC2)cs1,0.5631,5.0,ALTA,353.2,0.6,72.9,3,8,0.1058,0,,0.09,0,core_imidazol
278,NZK2c_benzisoxazolpip_propileno_benzofuran,c1ccc2c(N3CCNCC3CCCc3ccc4ccoc4c3)noc2c1,0.5613,4.37,ALTA,361.2,4.38,54.4,1,5,0.116,1,colinergico,0.132,0,pip_heterociclo
279,NZK2c_pyrimidilpiperazina_butileno_benzotiofeno,c1cnc(N2CCNCC2CCCCc2ccc3sccc3c2)nc1,0.5605,4.87,ALTA,352.2,3.88,41.1,1,5,0.1125,0,,0.126,0,pip_heterociclo
280,NZK2a_quinuclidina_propil_amina_triazolpiperazina,C(CNc1nn[nH]c1N1CCNCC1)CC1CN2CCC1CC2,0.5603,5.0,ALTA,319.2,0.75,72.1,3,6,0.0947,0,,0.073,0,core_piperazina
281,NZK2a_quinuclidinona_etil_amida_indolpiperazina,O=C(CC1CN2CCC1CC2=O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5603,4.65,ALTA,409.2,1.81,80.5,3,4,0.1412,0,,0.144,0,core_piperazina
282,NZK2c_pyrimidilpiperazina_etil_sulfonamida_benzofuran,O=S(=O)(CC1CNCCN1c1ncccn1)Nc1ccc2ccoc2c1,0.5594,5.06,MÉDIA,373.1,1.44,100.4,2,7,0.1363,1,serotoninergico,0.138,0,pip_heterociclo
283,NZK2c_fenilpiperazina_propileno_benzofuran,c1ccc(N2CCNCC2CCCc2ccc3ccoc3c2)cc1,0.5585,4.23,ALTA,320.2,4.23,28.4,1,3,0.1235,1,serotoninergico,0.132,0,pip_heterociclo
284,NZK2c_benzisoxazolpip_butileno_pirrolo_piridina,c1ccc2c(N3CCNCC3CCCCc3cnc4[nH]ccc4c3)noc2c1,0.558,4.25,ALTA,375.2,3.9,70.0,2,5,0.1185,1,serotoninergico,0.138,0,pip_heterociclo
285,NZK2c_benzisoxazolpip_etileno_benzotiofeno,c1ccc2c(N3CCNCC3CCc3ccc4sccc4c3)noc2c1,0.5571,4.27,ALTA,363.1,4.45,41.3,1,5,0.1125,1,colinergico,0.107,0,pip_heterociclo
286,NZK2a_quinuclidina_etil_sulfonamida_pyrimidilpiperazina,O=S(=O)(CC1CN2CCC1CC2)Nc1cnc(N2CCNCC2)nc1,0.5568,5.44,BAIXA,366.2,-0.03,90.5,2,7,0.1287,2,colinergico|serotoninergico,0.101,0,core_piperazina
287,NZK2c_benzisoxazolpip_propileno_indazol,c1ccc2c(N3CCNCC3CCCc3ccc4[nH]ncc4c3)noc2c1,0.5568,4.74,ALTA,361.2,3.51,70.0,2,5,0.1153,0,,0.129,0,pip_heterociclo
288,NZK2c_fenilpiperazina_etil_sulfonamida_pirrolo_piridina,O=S(=O)(CC1CNCCN1c1ccccc1)Nc1cnc2[nH]ccc2c1,0.5548,4.92,MÉDIA,371.1,1.78,90.1,3,5,0.1366,1,serotoninergico,0.138,0,pip_heterociclo
289,REF_DETQ,Cc1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1C,0.5548,3.58,ALTA,324.1,4.85,50.4,2,2,0.1952,1,dopaminergico,0.108,0,referencia
290,NZK2a_quinuclidina_butileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCCC1CN2CCC1CC2,0.5546,4.19,ALTA,394.3,3.67,34.3,2,3,0.1132,1,colinergico,0.136,0,core_piperazina
291,NZK2a_quinuclidina_etil_amida_triazolpiperazina,O=C(CC1CN2CCC1CC2)Nc1nn[nH]c1N1CCNCC1,0.5544,5.0,MÉDIA,319.2,-0.12,89.2,3,6,0.1244,1,colinergico,0.099,0,core_piperazina
292,NZK2a_3OH_quinuclidina_propil_amina_indolpiperazina,OC1CC2CCN1CC2CCCNc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.553,4.63,ALTA,411.3,2.47,66.6,4,5,0.1145,0,,0.157,0,core_piperazina
293,REF_pitolisant,Clc1ccccc1/C=C\c1ccc(OCC2CCCN2)cc1,0.5519,3.71,ALTA,313.1,4.64,21.3,1,2,0.1664,1,histaminergico,0.111,0,referencia
294,NZK2a_quinuclidina_etil_amida_fenilpiperazina,O=C(CC1CN2CCC1CC2)Nc1ccc(N2CCNCC2)cc1,0.5514,5.5,ALTA,328.2,1.77,47.6,2,4,0.1588,2,colinergico|serotoninergico,0.133,1,core_piperazina
295,NZK2a_quinuclidinona_etil_amida_fenilpiperazina,O=C(CC1CN2CCC1CC2=O)Nc1ccc(N2CCNCC2)cc1,0.5504,5.5,ALTA,342.2,1.29,64.7,2,4,0.1551,2,colinergico|serotoninergico,0.128,1,core_piperazina
296,NZK2a_quinuclidinona_etil_eter_triazolpiperazina,O=C1CC2CCN1CC2COCc1nn[nH]c1N1CCNCC1,0.5497,5.5,MÉDIA,320.2,-0.4,86.4,2,6,0.1053,0,,0.09,0,core_piperazina
297,NZK2a_quinuclidina_etil_eter_fenilpiperazina,c1cc(N2CCNCC2)ccc1COCC1CN2CCC1CC2,0.5493,5.69,ALTA,315.2,1.95,27.7,1,4,0.1252,2,colinergico|serotoninergico,0.092,1,core_piperazina
298,NZK2c_benzisoxazolpip_butileno_benzofuran,c1ccc2c(N3CCNCC3CCCCc3ccc4ccoc4c3)noc2c1,0.549,4.01,ALTA,375.2,4.77,54.4,1,5,0.1146,1,colinergico,0.143,0,pip_heterociclo
299,NZK2a_3OH_quinuclidina_etileno_sulfonamidapip,O=S(=O)(NCCC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.5485,4.76,MÉDIA,394.2,0.42,84.9,3,6,0.1326,1,serotoninergico,0.119,0,core_piperazina
300,NZK2a_3OH_quinuclidina_etil_amida_benzisoxazolpip,O=C(CC1CN2CCC1CC2O)Nc1ccc2onc(N3CCNCC3)c2c1,0.548,4.69,MÉDIA,385.2,1.23,93.9,3,7,0.1398,1,colinergico,0.121,0,core_piperazina
301,NZK2c_fenilpiperazina_etil_eter_benzotiofeno,c1ccc(N2CCNCC2COCc2ccc3sccc3c2)cc1,0.5473,4.47,ALTA,338.1,3.9,24.5,1,4,0.1132,0,,0.115,0,pip_heterociclo
302,NZK2c_fenilpiperazina_butileno_benzofuran,c1ccc(N2CCNCC2CCCCc2ccc3ccoc3c2)cc1,0.5471,3.9,ALTA,334.2,4.62,28.4,1,3,0.1219,1,serotoninergico,0.143,0,pip_heterociclo
303,NZK2b_3OH_quinuclidina_etil_sulfonamida_imidazol_N_metil,O=S(=O)(CC1CN2CCC1CC2O)NCn1ccnc1,0.5469,5.5,MÉDIA,300.1,-0.58,87.5,2,6,0.0943,0,,0.099,0,core_imidazol
304,NZK2c_fenilpiperazina_propil_amina_benzotiofeno,c1ccc(N2CCNCC2CCCNc2ccc3sccc3c2)cc1,0.5466,3.4,ALTA,351.2,4.57,27.3,2,4,0.1197,2,dopaminergico|serotoninergico,0.127,0,pip_heterociclo
305,NZK2a_quinuclidinona_etil_eter_fenilpiperazina,O=C1CC2CCN1CC2COCc1ccc(N2CCNCC2)cc1,0.5457,6.0,ALTA,329.2,1.48,44.8,1,4,0.1362,1,serotoninergico,0.108,1,core_piperazina
306,NZK2a_quinuclidina_etil_sulfonamida_fenilpiperazina,O=S(=O)(CC1CN2CCC1CC2)Nc1ccc(N2CCNCC2)cc1,0.5456,5.47,ALTA,364.2,1.18,64.7,2,5,0.1396,2,colinergico|serotoninergico,0.104,1,core_piperazina
307,NZK2a_quinuclidinona_etil_amida_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2=O)Nc1cnc(N2CCNCC2)nc1,0.545,5.48,BAIXA,344.2,0.08,90.5,2,6,0.1426,1,serotoninergico,0.125,0,core_piperazina
308,NZK2a_3OH_quinuclidina_propileno_sulfonamidapip,O=S(=O)(NCCCC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.5448,4.66,MÉDIA,408.2,0.81,84.9,3,6,0.1311,1,serotoninergico,0.129,0,core_piperazina
309,REF_cutamesina,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.544,4.22,ALTA,375.1,4.43,40.5,1,3,-0.5301,2,serotoninergico|sigma,1.0,0,referencia
310,NZK2a_quinuclidinona_etileno_fenilpiperazina,O=C1CC2CCN1CC2CCc1ccc(N2CCNCC2)cc1,0.5427,5.89,ALTA,313.2,1.9,35.6,1,3,0.1387,1,serotoninergico,0.12,1,core_piperazina
311,NZK2a_quinuclidina_etileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCC1CN2CCC1CC2,0.5422,5.46,ALTA,299.2,2.37,18.5,1,3,0.1274,2,colinergico|serotoninergico,0.111,1,core_piperazina
312,NZK2a_quinuclidinona_propileno_fenilpiperazina,O=C1CC2CCN1CC2CCCc1ccc(N2CCNCC2)cc1,0.5421,5.89,ALTA,327.2,2.29,35.6,1,3,0.1363,1,serotoninergico,0.139,1,core_piperazina
313,NZK2c_benzisoxazolpip_butileno_indazol,c1ccc2c(N3CCNCC3CCCCc3ccc4[nH]ncc4c3)noc2c1,0.5402,4.25,ALTA,375.2,3.9,70.0,2,5,0.114,0,,0.14,0,pip_heterociclo
314,NZK2a_quinuclidinona_butileno_fenilpiperazina,O=C1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)cc1,0.5386,5.8,ALTA,341.2,2.68,35.6,1,3,0.1344,1,serotoninergico,0.152,1,core_piperazina
315,NZK2b_3OH_quinuclidina_etil_carbonil_aminotiazol_pip,O=C(CC1CN2CCC1CC2O)Nc1nc(N2CCNCC2)cs1,0.5374,5.0,MÉDIA,351.2,0.54,80.7,3,7,0.1231,0,,0.116,0,core_imidazol
316,NZK2a_quinuclidina_propileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCCC1CN2CCC1CC2,0.5373,5.33,ALTA,313.3,2.76,18.5,1,3,0.1251,2,colinergico|serotoninergico,0.117,1,core_piperazina
317,NZK2b_3OH_quinuclidina_etil_amida_piperidin_imidazol,O=C(CC1CN2CCC1CC2O)Nc1cn(C2CCNCC2)cn1,0.5364,5.0,MÉDIA,333.2,0.8,82.4,3,6,0.1188,0,,0.118,0,core_imidazol
318,NZK2a_quinuclidina_propil_amina_fenilpiperazina,c1cc(N2CCNCC2)ccc1NCCCC1CN2CCC1CC2,0.5339,5.2,ALTA,328.3,2.63,30.5,2,4,0.1291,2,colinergico|serotoninergico,0.12,1,core_piperazina
319,NZK2a_quinuclidinona_propil_amina_triazolpiperazina,O=C1CC2CCN1CC2CCCNc1nn[nH]c1N1CCNCC1,0.5333,5.0,MÉDIA,333.2,0.27,89.2,3,6,0.1065,0,,0.087,0,core_piperazina
320,NZK2a_quinuclidina_etil_amida_sulfonamidapip,O=C(CC1CN2CCC1CC2)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5312,4.54,BAIXA,407.2,0.14,93.8,3,6,0.1463,2,colinergico|serotoninergico,0.122,0,core_piperazina
321,NZK2a_quinuclidinona_etil_eter_sulfonamidapip,O=C1CC2CCN1CC2COCNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5309,5.12,BAIXA,408.2,0.22,91.0,2,6,0.1341,1,serotoninergico,0.099,0,core_piperazina
322,NZK2b_3OH_quinuclidina_propil_amina_aminotiazol_pip,OC1CC2CCN1CC2CCCNNc1nc(N2CCNCC2)cs1,0.5306,4.96,MÉDIA,366.2,0.91,75.7,4,8,0.1009,0,,0.101,0,core_imidazol
323,NZK2a_quinuclidinona_propil_amina_fenilpiperazina,O=C1CC2CCN1CC2CCCNc1ccc(N2CCNCC2)cc1,0.5301,5.5,ALTA,342.2,2.16,47.6,2,4,0.1402,1,serotoninergico,0.128,1,core_piperazina
324,NZK2c_benzisoxazolpip_propileno_benzotiofeno,c1ccc2c(N3CCNCC3CCCc3ccc4sccc4c3)noc2c1,0.5297,3.96,ALTA,377.2,4.84,41.3,1,5,0.1109,0,,0.129,0,pip_heterociclo
325,NZK2a_3OH_quinuclidina_etil_eter_triazolpiperazina,OC1CC2CCN1CC2COCc1nn[nH]c1N1CCNCC1,0.5293,5.0,MÉDIA,322.2,-0.61,89.5,3,7,0.0904,0,,0.082,0,core_piperazina
326,NZK2a_3OH_quinuclidina_propileno_triazolpiperazina,OC1CC2CCN1CC2CCCc1nn[nH]c1N1CCNCC1,0.5292,5.0,MÉDIA,320.2,0.2,80.3,3,6,0.09,0,,0.096,0,core_piperazina
327,NZK2a_3OH_quinuclidina_etileno_triazolpiperazina,OC1CC2CCN1CC2CCc1nn[nH]c1N1CCNCC1,0.5291,5.0,MÉDIA,306.2,-0.19,80.3,3,6,0.0897,0,,0.085,0,core_piperazina
328,NZK2a_3OH_quinuclidina_butileno_triazolpiperazina,OC1CC2CCN1CC2CCCCc1nn[nH]c1N1CCNCC1,0.5289,5.0,MÉDIA,334.2,0.59,80.3,3,6,0.0888,0,,0.095,0,core_piperazina
329,NZK2a_quinuclidina_butileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCCCC1CN2CCC1CC2,0.5278,5.06,ALTA,327.3,3.15,18.5,1,3,0.1233,2,colinergico|serotoninergico,0.13,1,core_piperazina
330,NZK2a_3OH_quinuclidina_etil_amida_indolpiperazina,O=C(CC1CN2CCC1CC2O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5271,4.63,MÉDIA,411.3,1.6,83.6,4,5,0.1309,0,,0.157,0,core_piperazina
331,NZK2c_fenilpiperazina_etileno_benzotiofeno,c1ccc(N2CCNCC2CCc2ccc3sccc3c2)cc1,0.5262,3.82,ALTA,322.2,4.31,15.3,1,3,0.1156,0,,0.12,0,pip_heterociclo
332,NZK2a_quinuclidinona_etil_carbonil_sulfonamidapip,O=C(CC1CN2CCC1CC2=O)NS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5261,4.88,BAIXA,406.2,0.16,98.8,2,6,0.1472,1,serotoninergico,0.12,0,core_piperazina
333,NZK2a_3OH_quinuclidina_etil_eter_fenilpiperazina,OC1CC2CCN1CC2COCc1ccc(N2CCNCC2)cc1,0.5249,5.5,ALTA,331.2,1.27,48.0,2,5,0.1195,1,serotoninergico,0.113,1,core_piperazina
334,NZK2a_3OH_quinuclidina_etileno_fenilpiperazina,OC1CC2CCN1CC2CCc1ccc(N2CCNCC2)cc1,0.5243,5.47,ALTA,315.2,1.69,38.7,2,4,0.1212,1,serotoninergico,0.132,1,core_piperazina
335,NZK2a_3OH_quinuclidina_propileno_fenilpiperazina,OC1CC2CCN1CC2CCCc1ccc(N2CCNCC2)cc1,0.5238,5.47,ALTA,329.2,2.08,38.7,2,4,0.1192,1,serotoninergico,0.128,1,core_piperazina
336,NZK2a_3OH_quinuclidina_butileno_fenilpiperazina,OC1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)cc1,0.5234,5.47,ALTA,343.3,2.47,38.7,2,4,0.1177,1,serotoninergico,0.134,1,core_piperazina
337,NZK2c_benzisoxazolpip_butileno_benzotiofeno,c1ccc2c(N3CCNCC3CCCCc3ccc4sccc4c3)noc2c1,0.5234,3.78,ALTA,391.2,5.23,41.3,1,5,0.1097,0,,0.14,0,pip_heterociclo
338,NZK2a_azanorbornano_etileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCN1CC2CCC1C2,0.5222,5.46,ALTA,285.2,2.12,18.5,1,3,0.1141,1,serotoninergico,0.11,1,core_piperazina
339,NZK2a_3OH_quinuclidina_etil_amida_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2O)Nc1cnc(N2CCNCC2)nc1,0.5221,4.88,BAIXA,346.2,-0.12,93.6,3,7,0.1311,1,serotoninergico,0.136,0,core_piperazina
340,NZK2a_azanorbornano_propileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCCN1CC2CCC1C2,0.5218,5.46,ALTA,299.2,2.51,18.5,1,3,0.1127,1,serotoninergico,0.122,1,core_piperazina
